monodromy_depth monodromy_time nuop_depth nuop_time
4 0.03545226249843836 4 3.3825470861047506
3 0.01665391121059656 4 5.221739336848259
3 0.0219144644215703 3 1.9221841925755143
3 0.015813451260328293 4 6.069333232939243
3 0.01499327365309 5 6.4334164606407285
3 0.014277270995080471 3 2.3536892533302307
3 0.01516102347522974 4 4.149973624385893
4 0.01797949429601431 4 4.2917550364509225
3 0.014029758982360363 3 1.7846744656562805
4 0.01767359860241413 5 6.334175484254956
4 0.018895098008215427 4 4.437634217552841
4 0.0178231094032526 4 3.8217987809330225
3 0.013712220825254917 3 1.7450227094814181
4 0.01725184079259634 4 3.178581449203193
3 0.014033512212336063 3 1.8327652495354414
3 0.01372044999152422 3 1.8672779304906726
3 0.015051161870360374 4 3.4995825588703156
4 0.017689913511276245 4 3.227553945966065
3 0.0141294552013278 4 3.595768609084189
4 0.019247721880674362 4 3.509983979165554
3 0.014805158600211143 3 1.943391302600503
4 0.017139997333288193 5 6.066077224910259
5 0.023107949644327164 5 5.91824980918318
3 0.014008330181241035 4 3.423286970704794
4 0.017900031059980392 4 3.5789354983717203
5 0.02186514064669609 5 5.835511511191726
4 0.017696309834718704 4 3.542437605559826
4 0.017237319611012936 4 3.511974163353443
5 0.021750365383923054 5 5.965178489685059
4 0.019129213877022266 4 3.5760688772425056
4 0.019914329051971436 5 6.414631468243897
3 0.015241648070514202 4 3.8142637573182583
4 0.018044091761112213 4 3.748528935946524
4 0.0172302583232522 4 3.322004321962595
4 0.01754224020987749 4 3.6690157894045115
3 0.041507882066071033 3 1.962702107615769
3 0.015398507937788963 4 3.3883181354030967
4 0.017495588399469852 4 3.407345125451684
4 0.01788054220378399 4 4.373327951878309
5 0.023498359136283398 5 5.794834237545729
3 0.013902049511671066 3 2.312527178786695
3 0.015051953494548798 3 2.8535654582083225
3 0.015892102383077145 3 1.7621741341426969
4 0.018860481679439545 4 4.733660507015884
3 0.014007276855409145 3 2.114038147032261
3 0.013733194209635258 3 2.0175506426021457
3 0.01520227175205946 3 1.9125044830143452
3 0.0180056095123291 3 2.771942835301161
3 0.014168929308652878 4 3.3616046076640487
3 0.013963595032691956 3 1.7826501512899995
4 0.017464659176766872 4 3.751100425608456
4 0.01719821896404028 4 3.653001136146486
4 0.022895866073668003 4 3.4524578638374805
3 0.014883444644510746 4 4.16849899571389
5 0.022920246236026287 5 5.946957752108574
3 0.018329903483390808 3 2.372146315872669
4 0.017699221149086952 4 3.7464645132422447
4 0.018537246622145176 4 3.1519262082874775
4 0.01775956340134144 4 3.4790466548874974
3 0.015065202489495277 3 1.9375713942572474
4 0.017747280187904835 5 6.269637789577246
3 0.013722286559641361 3 1.9892592700198293
4 0.024823390878736973 4 3.1826607454568148
3 0.015292610973119736 4 3.8759988425299525
3 0.01515903603285551 4 3.5218249997124076
3 0.014039095491170883 3 2.6177677642554045
3 0.014133169315755367 4 3.3660189555957913
4 0.01938025187700987 4 3.689897060394287
3 0.015399690717458725 4 3.3855272429063916
5 0.022349229082465172 5 6.372136033140123
4 0.01769520528614521 4 3.309670802205801
4 0.021071103401482105 4 3.214557937346399
4 0.01738555356860161 4 2.925771246664226
4 0.01920506078749895 4 3.212345317006111
4 0.01893610693514347 4 3.575468072667718
3 0.014687844552099705 3 2.0276592122390866
4 0.0175424013286829 4 3.6045679124072194
5 0.022437513805925846 5 6.052786199375987
5 0.022023356519639492 5 5.056930212303996
3 0.014905499294400215 4 3.102062165737152
3 0.014845743775367737 4 3.207648916170001
3 0.019816492684185505 3 2.193870509043336
3 0.014947683550417423 4 3.7705156272277236
4 0.01815023459494114 4 3.6045858282595873
3 0.015346163883805275 3 1.8436478711664677
3 0.013858102262020111 3 2.453295271843672
3 0.01573875918984413 4 3.159534312784672
4 0.01713412720710039 4 4.348119021393359
3 0.013940948992967606 3 1.8139061974361539
4 0.0187955591827631 4 3.356180594302714
3 0.01419741753488779 3 1.9336754893884063
4 0.023272961378097534 5 6.127203105017543
3 0.013922635465860367 3 1.9596076430752873
3 0.014056955464184284 3 2.018195616081357
3 0.018688458018004894 3 1.9132962869480252
3 0.015089745633304119 3 2.045388105325401
4 0.02380791213363409 5 7.830191190354526
3 0.01576971635222435 3 2.670387839898467
4 0.024443700909614563 5 6.3493814542889595
4 0.021477654576301575 4 2.9864441761747003
3 0.015960237942636013 4 3.807722456753254
3 0.013647706247866154 3 2.0550549048930407
3 0.013491759076714516 3 1.9117055097594857
