strength0 strength1 average_cost average_overshot sigma_cost sigma_overshot
1.0 0.5 0.016191813701244225 0.001824813701244224 0.0019990412454929996 0.001073272544043454
1.0 0.6 0.016514966208100036 0.002147966208100035 0.0010858819131169828 0.0012629176998972598
1.0 0.4 0.016856195911998346 0.0024891959119983445 0.002390377997702614 0.0012148234805560234
1.0 0.5172413793103449 0.016170422438705773 0.001803422438705772 0.001893175519369794 0.001082439266323808
1.0 0.5054945054945055 0.016181409230629926 0.0018144092306299243 0.0019668845065908287 0.0010748679624629728
1.0 0.52 0.016170062651080227 0.0018030626510802256 0.0018747831512450832 0.0010850398536603125
1.0 0.5217391304347826 0.01617027131465568 0.0018032713146556786 0.0018629655366110857 0.0010868419906345536
1.0 0.5194805194805194 0.016170065697048108 0.0018030656970481063 0.0018782795742164997 0.0010845260012103063
1.0 0.5204081632653061 0.01617008134345149 0.0018030813434514875 0.00187202517249447 0.0010854514738279706
